id,categoria,nome,descrizione,prezzo,foto,allergeni
1,Cold cut,Salami Milano,,100,Salami_Milano_20260512.jpg,
2,Cold cut,mortadella Galloni,,690,mortadella_Galloni_20260512.jpg,
